"","Date","Value","SP500","SP500.Returns","rank","lag_preds"
"1",1985-01-04,1,163.6799927,-0.00540812153199666,3,NA
"2",1985-01-11,1,167.9100037,-0.00237653084013822,3,1
"3",1985-01-18,1,171.3200073,0.00345581687377727,3,1
"4",1985-01-25,1,177.3500061,0.00362174962217354,3,1
"5",1985-02-01,1,178.6300049,-0.00556699867907207,3,1
"6",1985-02-08,1,182.1900024,0.00203495261877062,3,1
"7",1985-02-15,1,181.6000061,-0.00444053277545109,3,1
"8",1985-02-22,1,179.3600006,-0.00460625888753519,3,1
"9",1985-03-01,1,183.2299957,0.0113147316624214,3,1
"10",1985-03-08,1,179.1000061,-0.00228393077021682,3,1
"11",1985-03-15,1,176.5299988,-0.00736615793553075,3,1
"12",1985-03-22,1,179.0399933,-0.00172853520744887,3,1
"13",1985-03-29,1,180.6600037,0.00623822235599913,3,1
"14",1985-04-12,1,180.5399933,0.00194234361140122,3,1
"15",1985-04-19,1,181.1100006,0.00149305632340369,3,1
"16",1985-04-26,1,182.1799927,-0.00681458894262932,3,1
"17",1985-05-03,1,180.0800018,0.00597736066630628,3,1
"18",1985-05-10,1,184.2799988,0.0129727386947609,3,1
"19",1985-05-17,1,187.4199982,0.00947966425145563,3,1
"20",1985-05-24,1,188.2899933,0.00367797002966075,3,1
"21",1985-05-31,1,189.5500031,0.00958723355525959,3,1
"22",1985-06-07,1,189.6799927,-0.00722288766531409,3,1
"23",1985-06-14,1,187.1000061,0.00955055459347665,3,1
"24",1985-06-21,1,189.6100006,0.0154233651064128,3,1
"25",1985-06-28,1,191.8500061,0.00324222357340154,3,1
"26",1985-07-05,1,192.5200043,0.00558896535558007,3,1
"27",1985-07-12,1,193.2899933,0.00181398826394963,3,1
"28",1985-07-19,1,195.1300049,0.00385842155105331,3,1
"29",1985-07-26,1,192.3999939,0.00177026087810384,3,1
"30",1985-08-02,1,191.4799957,-0.00327939668956523,3,1
"31",1985-08-09,1,188.3200073,-0.00333416041458545,3,1
"32",1985-08-16,1,186.1000061,-0.00619453398520742,3,1
"33",1985-08-23,1,187.1699982,-0.00101410332723917,3,1
"34",1985-08-30,1,188.6300049,-0.00158782518176648,3,1
"35",1985-09-06,1,188.2400055,0.00517969337174828,3,1
"36",1985-09-13,1,182.9100037,-0.00424627736844096,3,1
"37",1985-09-20,1,182.0500031,-0.00730681228193508,3,1
"38",1985-10-04,1,183.2200012,-0.00618355064162435,3,1
"39",1985-10-11,1,184.2799988,0.00820658720783407,3,1
"40",1985-10-18,1,187.0399933,-0.00330390273780012,3,1
"41",1985-10-25,1,187.5200043,-0.00519891618037127,3,1
"42",1985-11-01,1,191.5299988,0.00900848927530307,3,1
"43",1985-11-08,1,193.7200012,0.00571075759517559,3,1
"44",1985-11-15,1,198.1100006,-0.00477241540969453,3,1
"45",1985-11-22,1,201.5200043,0.000546152613967843,3,1
"46",1985-11-29,1,202.1699982,-0.00182677551219201,3,1
"47",1985-12-06,1,202.9900055,-0.00436530988135164,3,1
"48",1985-12-13,1,209.9400024,0.0155275323696047,3,1
"49",1985-12-20,1,210.9400024,0.00438052605067951,3,1
"50",1985-12-27,1,209.6100006,0.00943899233122014,3,1
"51",1986-01-03,1,210.8800049,0.00615491494237874,3,1
"52",1986-01-10,1,205.9600067,-0.000727737128539907,3,1
"53",1986-01-17,1,208.4299927,-0.00353781855126489,3,1
"54",1986-01-24,1,206.4299927,0.0106731588739291,3,1
"55",1986-01-31,1,211.7799988,0.0117039935935261,3,1
"56",1986-02-07,1,214.5599976,0.00510608700928783,3,1
"57",1986-02-14,1,219.7599945,0.0108555688418537,3,1
"58",1986-02-21,1,224.6199951,0.0108000804924844,3,1
"59",1986-02-28,1,226.9199982,0.000661436244458358,3,1
"60",1986-03-07,1,225.5700073,0.00195443694942155,3,1
"61",1986-03-14,1,236.5500031,0.0144088540049692,3,1
"62",1986-03-21,1,233.3399963,-0.0135283549955186,3,1
"63",1986-04-04,1,228.6900024,-0.0162601573557355,3,1
"64",1986-04-11,1,235.9700012,-0.00198782437501777,3,1
"65",1986-04-18,1,242.3800049,-0.00267454183931803,3,1
"66",1986-04-25,1,242.2899933,0.00111556480953245,3,1
"67",1986-05-02,1,234.7899933,-0.00157344103664858,3,1
"68",1986-05-09,1,237.8500061,0.00303631419526029,3,1
"69",1986-05-16,1,232.7599945,-0.00712365419102801,3,1
"70",1986-05-23,1,241.3500061,0.00512248469556953,3,1
"71",1986-05-30,1,247.3500061,-0.00254048556707831,3,1
"72",1986-06-06,1,245.6699982,8.14341563066812e-05,3,1
"73",1986-06-13,1,245.7299957,0.0175576218619118,3,1
