"","Date","Value","SP500","SP500.Returns","rank","lag_rets"
"2",2007-11-09,8.84,1453.699951,-0.0142870201551831,2,NA
"3",2007-11-16,9.47,1458.73999,0.0052303110460481,3,-0.0142870201551831
"4",2007-11-23,9.88,1440.699951,0.0168904837497903,3,0.0052303110460481
"5",2007-11-30,9.75,1481.140015,0.00777021760970542,3,0.0168904837497903
"6",2007-12-07,9.29,1504.660034,-0.00177792141152577,3,0.00777021760970542
"7",2007-12-14,8.42,1467.949951,-0.0137462678513494,2,-0.00177792141152577
"8",2007-12-21,9.32,1484.459961,0.0166698395223333,3,-0.0137462678513494
"9",2007-12-28,8.76,1478.48999,0.00150376961526333,2,0.0166698395223333
"10",2008-01-04,8.91,1411.630005,-0.0245515548835286,2,0.00150376961526333
"11",2008-01-11,7.81,1401.02002,-0.0135953874086988,2,-0.0245515548835286
"12",2008-01-18,8.58,1325.189941,-0.00604542208888048,2,-0.0135953874086988
"13",2008-01-25,9.72,1330.609985,-0.0158719310812934,3,-0.00604542208888048
"14",2008-02-01,8.95,1395.420044,0.0122374918576496,2,-0.0158719310812934
"15",2008-02-08,10.39,1331.290039,-0.00420371966480437,3,0.0122374918576496
"16",2008-02-15,9.97,1349.98999,0.00083774818184712,3,-0.00420371966480437
"17",2008-02-22,9.35,1353.109985,0.00788061031892195,3,0.00083774818184712
"18",2008-02-29,9.58,1330.630005,-0.027089704855782,3,0.00788061031892195
"19",2008-03-07,10.19,1293.369995,-0.00841036178140075,3,-0.027089704855782
"20",2008-03-14,9.2,1288.140015,-0.0207832619391137,2,-0.00841036178140075
"21",2008-03-28,12.35,1315.219971,-0.00795018624826371,4,-0.0207832619391137
"22",2008-04-04,12.1,1370.400024,0.000795995759204526,4,-0.00795018624826371
"23",2008-04-11,11.64,1332.829956,-0.0203741810309545,3,0.000795995759204526
"24",2008-04-18,11.85,1390.329956,0.0181390022626606,3,-0.0203741810309545
"25",2008-04-25,11.34,1397.839966,0.00649473679146007,3,0.0181390022626606
"26",2008-05-02,10.84,1413.900024,0.0032355983013399,3,0.00649473679146007
"27",2008-05-09,10.55,1388.280029,-0.00672544834069722,3,0.0032355983013399
"28",2008-05-16,10.31,1425.349976,0.00125039869308941,3,-0.00672544834069722
"29",2008-05-23,9.93,1375.930054,-0.0132104007724385,3,0.00125039869308941
"30",2008-05-30,9.9,1400.380005,0.00151616651040465,3,-0.0132104007724385
"31",2008-06-06,10,1360.680054,-0.0308892087079725,3,0.00151616651040465
"32",2008-06-13,11.23,1360.030029,0.0150462612605935,3,-0.0308892087079725
"33",2008-06-20,10.2,1317.930054,-0.0185428556227414,3,0.0150462612605935
"34",2008-06-27,9.85,1278.380005,-0.00371742891383064,3,-0.0185428556227414
"35",2008-07-11,9.84,1239.48999,-0.0110899439389581,3,-0.00371742891383064
"36",2008-07-18,11.03,1260.680054,0.000285727446544648,3,-0.0110899439389581
"37",2008-07-25,9.76,1257.76001,0.00416750829312207,3,0.000285727446544648
"38",2008-08-01,9.05,1260.310059,-0.00557839477671107,2,0.00416750829312207
"39",2008-08-08,9.78,1296.319946,0.023892834748642,3,-0.00557839477671107
"40",2008-08-15,11.38,1298.199951,0.00407593356167757,3,0.023892834748642
"41",2008-08-22,10.88,1292.199951,0.0113326709518888,3,0.00407593356167757
"42",2008-08-29,11.05,1282.829956,-0.013723665512595,3,0.0113326709518888
"43",2008-09-05,12.16,1242.310059,0.004430765097025,4,-0.013723665512595
"44",2008-09-12,13.23,1251.699951,0.00212153388258662,4,0.004430765097025
"45",2008-09-19,15.26,1255.079956,0.0402565628112774,4,0.00212153388258662
"46",2008-09-26,14.85,1213.27002,0.00338242926392174,4,0.0402565628112774
"47",2008-10-03,17.73,1099.22998,-0.0135065231434746,4,0.00338242926392174
"48",2008-10-10,19.71,899.2199707,-0.0117592891694698,4,-0.0135065231434746
"49",2008-10-17,20.54,940.5499878,-0.00621282603610784,4,-0.0117592891694698
"50",2008-10-24,22.41,876.7700195,-0.0345112006297295,4,-0.00621282603610784
"51",2008-10-31,27.66,968.75,0.0153653981140887,4,-0.0345112006297295
"52",2008-11-07,25.63,930.9899902,0.028854638359354,4,0.0153653981140887
"53",2008-11-14,24.82,873.289978,-0.0416991308116855,4,0.028854638359354
"54",2008-11-21,24.51,800.0300293,0.0632476034610145,4,-0.0416991308116855
"55",2008-11-28,22.94,896.2399902,0.00964311189887646,4,0.0632476034610145
"56",2008-12-05,24.15,876.0700073,0.0364994175119295,4,0.00964311189887646
"57",2008-12-12,19.98,879.7299805,0.00702841540188825,4,0.0364994175119295
"58",2008-12-19,26.67,887.8800049,0.00293689625197557,4,0.00702841540188825
"59",2008-12-26,24.85,872.7999878,0.00535617493441154,4,0.00293689625197557
"60",2009-01-02,24.82,931.7999878,0.0316080684195961,4,0.00535617493441154
"61",2009-01-09,25.22,890.3499756,-0.0213030298169886,4,0.0316080684195961
"62",2009-01-16,23.25,850.1199951,0.00756157699540561,4,-0.0213030298169886
"63",2009-01-23,22.76,831.9500122,0.00537765824773406,4,0.00756157699540561
"64",2009-01-30,21.51,825.8800049,-0.0227891347791829,4,0.00537765824773406
"65",2009-02-06,20.55,868.5999756,0.0268960225291279,4,-0.0227891347791829
"66",2009-02-13,20.12,826.8400269,-0.0099976957051755,4,0.0268960225291279
"67",2009-02-20,20.77,770.0499878,-0.0114129645063918,4,-0.0099976957051755
"68",2009-02-27,19.92,735.0900269,-0.0235644033806419,4,-0.0114129645063918
"69",2009-03-06,17.84,683.3800049,0.00121605320465279,4,-0.0235644033806419
"70",2009-03-13,17.58,756.5499878,0.00773902772709945,4,0.00121605320465279
"71",2009-03-20,18.61,768.539978,-0.0197694000751579,4,0.00773902772709945
"72",2009-03-27,19.8,815.9400024,-0.020315519170817,4,-0.0197694000751579
"73",2009-04-03,19.79,842.5,0.00973177095845346,4,-0.020315519170817
"74",2009-04-17,14.75,869.5999756,0.00496936075421961,4,0.00973177095845346
"75",2009-04-24,13.91,866.2299805,0.0167973493840203,4,0.00496936075421961
"76",2009-05-01,14.64,877.5200195,0.00539638857592295,4,0.0167973493840203
"77",2009-05-08,14.89,929.2299805,0.024068995193459,4,0.00539638857592295
"78",2009-05-15,15.41,882.8800049,-0.0114100824310597,4,0.024068995193459
"79",2009-05-22,14.61,887,-0.00149721057984942,4,-0.0114100824310597
"80",2009-05-29,15.56,919.1400146,0.0135747574163534,4,-0.00149721057984942
