"","Date","Value","SP500","SP500.Returns","rank","lag_rets"
"2",2004-01-09,19.97,1121.859985,-0.0088876056690802,2,NA
"3",2004-01-16,21.06,1139.829956,0.0068724055149969,2,-0.0088876056690802
"4",2004-01-23,20.98,1141.550049,-0.00208917611348636,2,0.0068724055149969
"5",2004-01-30,22.16,1131.130005,-0.00262759347806996,3,-0.00208917611348636
"6",2004-02-06,23.71,1142.76001,0.0125555289581583,3,-0.00262759347806996
"7",2004-02-13,23.31,1145.810059,-0.00546816370140224,3,0.0125555289581583
"8",2004-02-20,24.35,1144.109985,-0.00257185661452786,3,-0.00546816370140224
"9",2004-02-27,23.45,1144.939941,2.61217031136685e-05,3,-0.00257185661452786
"10",2004-03-05,21.95,1156.859985,0.00172312901765204,2,2.61217031136685e-05
"11",2004-03-12,24.25,1120.569946,0.0124594920749153,3,0.00172312901765204
"12",2004-03-19,26.36,1109.780029,-0.0111732104955391,3,0.0124594920749153
"13",2004-03-26,25.34,1108.060059,-0.00101865510877386,3,-0.0111732104955391
"14",2004-04-02,23.25,1141.810059,0.00851463528035179,3,-0.00101865510877386
"15",2004-04-16,23.82,1134.609985,0.00511145881948694,3,0.00851463528035179
"16",2004-04-23,22.41,1140.599976,0.000587686935395126,3,0.00511145881948694
"17",2004-04-30,23.8,1107.300049,-0.00591617297152991,3,0.000587686935395126
"18",2004-05-07,25.34,1098.699951,-0.013725472524219,3,-0.00591617297152991
"19",2004-05-14,29.14,1095.699951,-0.000674902447757586,4,-0.013725472524219
"20",2004-05-21,30.32,1093.560059,0.0040122643769438,4,-0.000674902447757586
"21",2004-05-28,24.35,1120.680054,-0.000535080429939661,3,0.0040122643769438
"22",2004-06-04,24.9,1122.5,0.00524787301304097,3,-0.000535080429939661
"23",2004-06-18,24.31,1135.02002,0.00262353329927723,3,0.00524787301304097
"24",2004-06-25,21.98,1134.430054,-0.00545300475091215,2,0.00262353329927723
"25",2004-07-02,21.64,1125.380005,-0.00315334400946676,2,-0.00545300475091215
"26",2004-07-09,23.17,1112.810059,0.00333607491596055,3,-0.00315334400946676
"27",2004-07-16,22.35,1101.390015,-0.00478898904169234,3,0.00333607491596055
"28",2004-07-23,22.8,1086.199951,-0.00970060841127296,3,-0.00478898904169234
"29",2004-07-30,23.71,1101.719971,0.00117219353952702,3,-0.00970060841127296
"30",2004-08-06,24.33,1063.969971,-0.0154806891445858,3,0.00117219353952702
"31",2004-08-13,25.65,1064.800049,0.00147669744978396,3,-0.0154806891445858
"32",2004-08-20,24.9,1098.349976,0.00652474375749823,3,0.00147669744978396
"33",2004-08-27,23.16,1107.77002,0.00242519078306414,3,0.00652474375749823
"34",2004-09-03,22.47,1113.630005,-0.00418493418916832,3,0.00242519078306414
"35",2004-09-10,22.02,1123.920044,0.00495362844045122,3,-0.00418493418916832
"36",2004-09-17,21.09,1128.550049,0.00449492567868259,2,0.00495362844045122
"37",2004-09-24,20.45,1110.109985,0.00157890940099215,2,0.00449492567868259
"38",2004-10-01,19.87,1131.5,0.0151806462236432,2,0.00157890940099215
"39",2004-10-08,19.95,1122.140015,-0.00752665176611722,2,0.0151806462236432
"40",2004-10-15,21.58,1108.199951,0.00445024592486143,2,-0.00752665176611722
"41",2004-10-22,21.07,1095.73999,-0.00971540646291791,2,0.00445024592486143
"42",2004-10-29,22.02,1130.199951,0.002448032839383,3,-0.00971540646291791
"43",2004-11-05,20.91,1166.170044,0.00387373335762797,2,0.002448032839383
"44",2004-11-12,18.69,1184.170044,0.00910971144134898,2,0.00387373335762797
"45",2004-11-19,18.25,1170.339966,-0.0111614063225812,2,0.00910971144134898
"46",2004-11-26,17.82,1182.650024,0.000753125839822566,1,-0.0111614063225812
"47",2004-12-03,17.74,1191.170044,0.000705760613488149,1,0.000753125839822566
"48",2004-12-10,19.01,1188,-0.00104267432177418,2,0.000705760613488149
"49",2004-12-17,17.64,1194.199951,-0.00748831067897049,1,-0.00104267432177418
"50",2004-12-31,17.25,1211.920044,-0.00134317080811219,1,-0.00748831067897049
"51",2005-01-07,19.55,1186.189941,-0.00143117121832181,2,-0.00134317080811219
"52",2005-01-14,20.05,1184.52002,0.00600456010380346,2,-0.00143117121832181
"53",2005-01-21,20.48,1167.869995,-0.00641481592116477,2,0.00600456010380346
"54",2005-01-28,20.17,1171.359985,-0.0027159881375135,2,-0.00641481592116477
"55",2005-02-04,17.97,1203.030029,0.0110430492182927,1,-0.0027159881375135
"56",2005-02-11,17.24,1205.300049,0.00692562211739567,1,0.0110430492182927
"57",2005-02-18,16.81,1201.589966,0.000699534457630602,1,0.00692562211739567
"58",2005-02-25,17.77,1211.369995,0.00930681924348775,1,0.000699534457630602
"59",2005-03-04,17.78,1222.119995,0.00962438084306672,1,0.00930681924348775
"60",2005-03-11,18.43,1200.079956,-0.00758324912135622,2,0.00962438084306672
"61",2005-03-18,18.92,1189.650024,-0.000470452288543699,2,-0.00758324912135622
"62",2005-04-01,18.88,1172.920044,-0.00649668574262641,2,-0.000470452288543699
"63",2005-04-08,17.94,1181.199951,-0.0083450004825838,1,-0.00649668574262641
"64",2005-04-15,18.53,1142.619995,-0.0167204966917909,2,-0.0083450004825838
"65",2005-04-22,20.84,1152.119995,-0.00675025331330015,2,-0.0167204966917909
"66",2005-04-29,20.76,1156.849976,0.011922469293532,2,-0.00675025331330015
"67",2005-05-06,20.28,1171.349976,-0.0010915881348269,2,0.011922469293532
"68",2005-05-13,19.88,1154.050049,-0.00458005802227179,2,-0.0010915881348269
"69",2005-05-20,19.27,1189.280029,-0.00151117226927799,2,-0.00458005802227179
"70",2005-05-27,17.71,1198.780029,0.000968616092619667,1,-0.00151117226927799
"71",2005-06-03,17.54,1196.02002,-0.00686713227892111,1,0.000968616092619667
"72",2005-06-10,17.27,1198.109985,-0.00234823751025881,1,-0.00686713227892111
"73",2005-06-17,17.09,1216.959961,0.00495474680686003,1,-0.00234823751025881
"74",2005-06-24,17.27,1191.569946,-0.00762872098854395,1,0.00495474680686003
"75",2005-07-01,16.76,1194.439941,0.00261051523495825,1,-0.00762872098854395
"76",2005-07-08,16.83,1211.859985,0.0116790553719479,1,0.00261051523495825
"77",2005-07-15,17.19,1227.920044,0.00115780187525472,1,0.0116790553719479
"78",2005-07-22,17.16,1233.680054,0.00541140858403555,1,0.00115780187525472
"79",2005-07-29,18.35,1234.180054,-0.00767047022034195,2,0.00541140858403555
"80",2005-08-05,19.75,1226.420044,-0.00763835799732615,2,-0.00767047022034195
"81",2005-08-12,21.28,1230.390015,-0.00599449321489154,2,-0.00763835799732615
"82",2005-08-19,20.92,1219.709961,0.000565980040262204,2,-0.00599449321489154
"83",2005-08-26,19.75,1205.099976,-0.00599653491094532,2,0.000565980040262204
"84",2005-09-02,19.15,1218.02002,-0.00292237665612916,2,-0.00599653491094532
"85",2005-09-09,18.9,1241.47998,0.00796474351859788,2,-0.00292237665612916
"86",2005-09-16,19.3,1237.910034,0.00829176949804533,2,0.00796474351859788
"87",2005-09-23,19.11,1215.290039,0.000551649077701777,2,0.00829176949804533
"88",2005-09-30,18.27,1228.810059,0.000920439324820999,2,0.000551649077701777
"89",2005-10-07,20.36,1195.900024,0.00370127658395192,2,0.000920439324820999
"90",2005-10-14,23.88,1186.569946,0.00826788712238558,3,0.00370127658395192
"91",2005-10-21,23.27,1179.589966,0.0015197121120174,3,0.00826788712238558
"92",2005-10-28,22.96,1198.410034,0.0165493337881211,3,0.0015197121120174
"93",2005-11-04,22.73,1220.140015,0.000164003155627368,3,0.0165493337881211
"94",2005-11-11,21.14,1234.719971,0.00305453476890127,2,0.000164003155627368
"95",2005-11-18,19.32,1248.27002,0.00440132827835127,2,0.00305453476890127
"96",2005-11-25,17.32,1268.25,0.00208596252501914,1,0.00440132827835127
"97",2005-12-02,18.01,1265.079956,0.00032412564996287,1,0.00208596252501914
"98",2005-12-09,17.85,1259.369995,0.00281089079466357,1,0.00032412564996287
"99",2005-12-16,17.37,1267.319946,-0.00284828171908091,1,0.00281089079466357
"100",2005-12-23,17.58,1268.660034,0.000425857964647891,1,-0.00284828171908091
"101",2005-12-30,18.71,1248.290039,-0.00488672437061277,2,0.000425857964647891
"102",2006-01-06,18.15,1285.449951,0.00939941827746682,2,-0.00488672437061277
"103",2006-01-13,17.34,1287.609985,0.00120517388682861,1,0.00939941827746682
"104",2006-01-20,18.81,1261.48999,-0.0183263153561551,2,0.00120517388682861
"105",2006-01-27,17.99,1283.719971,0.00776399938894201,1,-0.0183263153561551
"106",2006-02-03,18.84,1264.030029,-0.00535861098343837,2,0.00776399938894201
"107",2006-02-10,20.12,1266.98999,0.00253996813238144,2,-0.00535861098343837
"108",2006-02-17,19.46,1287.23999,-0.00165972404698489,2,0.00253996813238144
"109",2006-02-24,17.64,1289.430054,0.00127351117055818,1,-0.00165972404698489
"110",2006-03-03,17.38,1287.22998,-0.00148163502627752,1,0.00127351117055818
"111",2006-03-10,19.73,1281.420044,0.00722358704359394,2,-0.00148163502627752
"112",2006-03-17,17.38,1307.25,0.00147092617554234,1,0.00722358704359394
"113",2006-03-24,17.28,1302.949951,0.000983280675390663,1,0.00147092617554234
"114",2006-03-31,17.07,1294.869995,-0.00413766967890794,1,0.000983280675390663
"115",2006-04-07,18.07,1295.5,-0.0103434872858003,1,-0.00413766967890794
"116",2006-04-21,18.52,1311.280029,-0.00013719976617721,2,-0.0103434872858003
"117",2006-04-28,18.96,1310.609985,0.000679545261358827,2,-0.00013719976617721
"118",2006-05-05,18.18,1325.76001,0.0102953019622785,2,0.000679545261358827
"119",2006-05-12,18.58,1291.23999,-0.0112411583446068,2,0.0102953019622785
"120",2006-05-19,22.99,1267.030029,0.0041368904636383,3,-0.0112411583446068
"121",2006-05-26,24.04,1280.160034,0.00571933644287226,3,0.0041368904636383
"122",2006-06-02,22.83,1288.219971,0.00195223656667309,3,0.00571933644287226
"123",2006-06-09,25.87,1252.300049,-0.00447561053342949,3,0.00195223656667309
"124",2006-06-16,29.69,1251.540039,-0.00367787134994935,4,-0.00447561053342949
"125",2006-06-23,25.18,1244.5,-0.000883089291260575,3,-0.00367787134994935
"126",2006-06-30,24.02,1270.199951,-0.00209765648533489,3,-0.000883089291260575
"127",2006-07-07,23.31,1265.47998,-0.00674995000078316,3,-0.00209765648533489
"128",2006-07-14,25.99,1236.199951,-0.00489428941789738,3,-0.00674995000078316
"129",2006-07-21,27.47,1240.290039,-0.00707689829290425,3,-0.00489428941789738
"130",2006-07-28,25.92,1278.550049,0.012151756329509,3,-0.00707689829290425
"131",2006-08-04,25.59,1279.359985,-0.000710814895126477,3,0.012151756329509
"132",2006-08-11,26.53,1266.73999,-0.00398649858453426,3,-0.000710814895126477
"133",2006-08-18,23.03,1302.300049,0.00371494672310857,3,-0.00398649858453426
"134",2006-08-25,22.15,1295.089966,-0.000748493862814059,3,0.00371494672310857
"135",2006-09-01,20.68,1311.01001,0.00551461420885491,2,-0.000748493862814059
"136",2006-09-08,22.6,1298.920044,0.00378666784459791,3,0.00551461420885491
"137",2006-09-15,20.66,1319.660034,0.0025678464502481,2,0.00378666784459791
"138",2006-09-22,21.24,1314.780029,-0.00246580117940542,2,0.0025678464502481
"139",2006-09-29,21.55,1335.849976,-0.00226310721549694,2,-0.00246580117940542
"140",2006-10-06,22.04,1349.589966,-0.00268249440430401,3,-0.00226310721549694
"141",2006-10-13,20.08,1365.619995,0.00204723926687733,2,-0.00268249440430401
"142",2006-10-20,20.29,1368.599976,0.00119975350177781,2,0.00204723926687733
"143",2006-10-27,18.64,1377.339966,-0.00845163012344263,2,0.00119975350177781
"144",2006-11-03,19.28,1364.300049,-0.00222323421796333,2,-0.00845163012344263
"145",2006-11-10,18.26,1380.900024,0.00186462464144532,2,-0.00222323421796333
"146",2006-11-17,16.8,1401.199951,0.00102870562790258,1,0.00186462464144532
"147",2006-11-24,16.23,1400.949951,-0.00365553778512628,1,0.00102870562790258
"148",2006-12-01,18.61,1396.709961,-0.00279877197118872,2,-0.00365553778512628
"149",2006-12-08,18.54,1409.839966,0.0018119413406863,2,-0.00279877197118872
"150",2006-12-15,16.37,1427.089966,0.00112240423378918,1,0.0018119413406863
"151",2006-12-22,16.92,1410.76001,-0.00531625096206989,1,0.00112240423378918
"152",2006-12-29,17.4,1418.300049,-0.00451308745535073,1,-0.00531625096206989
"153",2007-01-05,18.67,1409.709961,-0.00608458141692103,2,-0.00451308745535073
"154",2007-01-12,18.05,1430.72998,0.00485316561227611,1,-0.00608458141692103
"155",2007-01-19,17.52,1430.5,0.00289546542234986,1,0.00485316561227611
"156",2007-01-26,17.04,1422.180054,-0.00120792890723354,1,0.00289546542234986
"157",2007-02-02,16.83,1448.390015,0.0016944507379093,1,-0.00120792890723354
"158",2007-02-09,16.28,1438.060059,-0.00707721384402815,1,0.0016944507379093
"159",2007-02-16,15.82,1455.540039,-0.000871781459877985,1,-0.00707721384402815
"160",2007-02-23,14.67,1451.189941,-0.00356367430353444,1,-0.000871781459877985
"161",2007-03-02,20.72,1387.170044,-0.0114027519817833,2,-0.00356367430353444
"162",2007-03-09,22.56,1402.839966,0.000677621632107828,3,-0.0114027519817833
"163",2007-03-16,21.65,1386.949951,-0.00382830888110075,2,0.000677621632107828
"164",2007-03-23,19.41,1436.109985,0.00109438980949905,2,-0.00382830888110075
"165",2007-03-30,20.3,1420.859985,-0.00117399560357534,2,0.00109438980949905
"166",2007-04-13,18.85,1452.849976,0.00348800029637242,2,-0.00117399560357534
"167",2007-04-20,16.86,1484.349976,0.00926070467401496,1,0.00348800029637242
"168",2007-04-27,17.36,1494.069946,-0.000120497908649764,1,0.00926070467401496
"169",2007-05-04,18.8,1505.619995,0.00214989447996294,2,-0.000120497908649764
"170",2007-05-11,19.13,1505.849976,0.00964149817267757,2,0.00214989447996294
