"","Date","Value","SP500","SP500.Returns","rank","lag_preds"
"1",1999-01-08,8.93,1275.089966,0.0042213589380633,4,NA
"2",1999-01-15,9.77,1243.26001,0.0256313535932897,4,8.93
"3",1999-01-22,10.21,1225.189941,-0.00807190382262635,4,9.77
"4",1999-01-29,10.16,1279.640015,0.011277349752552,4,10.21
"5",1999-02-05,9.74,1239.400024,-0.00728076802602162,4,10.16
"6",1999-02-12,9.52,1230.130005,-0.0190664039874407,4,9.74
"7",1999-02-19,9.28,1239.219971,0.00156790860155387,4,9.52
"8",1999-02-26,9.09,1238.329956,-0.0053734589745793,4,9.28
"9",1999-03-05,8.79,1275.469971,0.0231261275533499,4,9.09
"10",1999-03-12,8.67,1294.589966,-0.00238124026833497,4,8.79
"11",1999-03-19,8.44,1299.290039,-0.013110029514723,4,8.67
"12",1999-03-26,8.1,1282.800049,-0.00557364092414403,4,8.44
"13",1999-04-09,6.99,1348.349976,0.00325153355334939,4,8.1
"14",1999-04-16,6.56,1319,-0.00291036479559192,4,6.99
"15",1999-04-23,6.37,1356.849976,-0.00144976529509977,4,6.56
"16",1999-04-30,6.24,1335.180054,-0.00569685086769101,4,6.37
"17",1999-05-07,6.03,1345,0.00972182014461231,4,6.24
"18",1999-05-14,5.99,1337.800049,-0.0217613916143188,4,6.03
"19",1999-05-21,6.25,1330.290039,-0.00637864200881388,4,5.99
"20",1999-05-28,6.52,1301.839966,0.0159433213865408,4,6.25
"21",1999-06-04,6.23,1327.75,0.0217076505174152,4,6.52
"22",1999-06-11,6.08,1293.640015,-0.00704620084163199,4,6.23
"23",1999-06-18,6.03,1342.839966,0.00219415027042347,4,6.08
"24",1999-06-25,5.84,1315.310059,-0.000357179763822102,4,6.03
"25",1999-07-02,5.89,1391.219971,0.00742962163259997,4,5.84
"26",1999-07-09,5.85,1403.280029,0.00635388528594616,4,5.89
"27",1999-07-16,5.98,1418.780029,0.00649822933307642,4,5.85
"28",1999-07-23,5.99,1356.939941,-0.00296114542265669,4,5.98
"29",1999-07-30,6.02,1328.719971,-0.00917955432301509,4,5.99
"30",1999-08-06,5.78,1300.290039,-0.0102152852596054,4,6.02
"31",1999-08-13,5.8,1327.680054,0.0227398927919853,4,5.78
"32",1999-08-20,5.86,1336.609985,0.00983689763027407,4,5.8
"33",1999-08-27,5.9,1348.27002,-0.0100880242429349,4,5.86
"34",1999-09-03,5.66,1357.23999,0.0289058573080243,4,5.9
"35",1999-09-10,5.62,1351.660034,0.00296810760806454,4,5.66
"36",1999-09-17,5.59,1335.420044,0.0128481768832014,4,5.62
"37",1999-09-24,5.54,1277.359985,-0.00238208770550763,4,5.59
"38",1999-10-01,5.47,1282.810059,7.80363472985268e-05,4,5.54
"39",1999-10-08,5.39,1336.02002,0.0139491855064831,4,5.47
