"","Date","Value","SP500","SP500.Returns","rank","lag_preds"
"1",1985-02-01,3.1,178.6300049,-0.00556699867907207,3,NA
"2",1985-03-01,3,183.2299957,0.0113147316624214,2,3.1
"3",1985-04-01,3.3,181.2700043,0.00337651161024533,3,3
"4",1985-05-01,3.2,178.3699951,-0.00811881602283326,3,3.3
"5",1985-07-01,2.8,192.4299927,0.00302312526223059,2,3.2
"6",1985-08-01,2.8,192.1100006,0.00623298979268472,2,2.8
"7",1985-10-01,3.3,185.0700073,0.0164213832954827,3,2.8
"8",1985-11-01,3.1,191.5299988,0.00900848927530307,3,3.3
"9",1986-04-01,2.4,235.1399994,-0.0157387802260635,1,3.1
"10",1986-05-01,2.7,235.1600037,-0.00152853512834283,1,2.4
"11",1986-07-01,2.8,252.0399933,0.00478391411936085,2,2.7
"12",1986-08-01,3,234.9100037,-0.00512447664369786,2,2.8
"13",1986-10-01,3.2,233.6000061,0.0098564703789028,3,3
"14",1986-12-01,3,249.0500031,-0.000682120613038517,2,3.2
"15",1987-04-01,3,292.3800049,0.00233113702968857,2,3
"16",1987-05-01,3.4,288.0299988,-0.00114435641804567,4,3
"17",1987-06-01,3.3,289.8299866,-0.000930780745681536,3,3.4
"18",1987-07-01,3.1,302.9400024,-0.0034868342105262,3,3.3
"19",1987-09-01,3,323.3999939,-0.0194056826462986,2,3.1
"20",1987-10-01,3.3,327.3299866,0.0170897686014446,3,3
"21",1987-12-01,3.1,232,0.00738166251461947,3,3.3
"22",1988-02-01,3.1,255.0399933,-0.00789673607326336,3,3.1
"23",1988-03-01,3.2,267.2200012,-0.0022403333718376,3,3.1
"24",1988-06-01,3.7,266.6900024,0.0172795187521582,4,3.2
"25",1988-07-01,4.6,271.7799988,-0.00628885265082268,4,3.7
"26",1988-08-01,4.4,272.2099915,0.000698487271830528,4,4.6
"27",1988-09-01,3.9,258.3500061,-0.0121213789895045,4,4.4
"28",1988-11-01,3.7,279.0599976,0.000322602428981078,4,3.9
"29",1988-12-01,3.9,272.4899902,-0.00442097897721605,4,3.7
"30",1989-02-01,4.1,297.0899963,-0.00127745620891873,4,3.9
"31",1989-03-01,3.7,287.1099854,-0.00605829844371375,4,4.1
"32",1989-05-01,4.6,309.1199951,-0.001679432487664,4,3.7
"33",1989-06-01,3.8,321.9700012,0.0045239368830754,4,4.6
"34",1989-08-01,3.5,343.75,-0.00673250892919441,4,3.8
"35",1989-09-01,3.4,353.730011,0.00648740566468531,4,3.5
"36",1989-11-01,3.5,341.2000122,0.00246805393123029,4,3.4
"37",1989-12-01,3.5,350.6300049,0.0134108350860609,4,3.5
"38",1990-02-01,4.1,328.7900085,-0.00088117816885791,4,3.5
"39",1990-03-01,3.7,332.7399902,0.00256101588661672,4,4.1
"40",1990-05-01,3.4,332.25,0.00438335022211866,4,3.7
"41",1990-06-01,3.8,363.1600037,0.00534283598048013,4,3.4
"42",1990-08-01,4.6,355.519989,-0.00176893137944822,4,3.8
"43",1990-10-01,4.8,314.9400024,0.0290475901139704,4,4.6
"44",1990-11-01,4.7,307.019989,0.00993417434210531,4,4.8
"45",1991-02-01,3.4,343.0499878,-0.0025586744938747,4,4.7
"46",1991-03-01,3.3,370.4700012,0.00926252167810948,4,3.4
"47",1991-04-01,3.2,371.2999878,-0.0104472399857772,3,3.3
"48",1991-05-01,3.1,380.2900085,0.0131880754750251,3,3.2
"49",1991-07-01,3.1,377.9200134,0.0182131954752969,3,3.1
"50",1991-08-01,3.2,387.1199951,-0.00177922824132992,3,3.1
"51",1991-10-01,3.2,389.2000122,0.00345492407168013,3,3.2
"52",1991-11-01,2.9,391.3200073,-0.00287936008376055,2,3.2
"53",1992-04-01,3,404.230011,0.00133768138123203,2,2.9
"54",1992-05-01,2.9,412.5299988,-0.00583206007675352,2,3
"55",1992-06-01,3.1,417.2999878,0.00469479155257435,3,2.9
"56",1992-07-01,2.7,412.8800049,0.0116136377969347,1,3.1
"57",1992-09-01,3,416.0700073,0.00492719973410782,2,2.7
"58",1992-10-01,2.8,416.2900085,-0.00361412001936878,2,3
