"","Date","Value","SP500","SP500.Returns","rank","lag_preds"
"1",1985-02-01,0.06,178.6300049,-0.00556699867907207,2,NA
"2",1985-03-01,0.04,183.2299957,0.0113147316624214,1,0.06
"3",1985-04-01,0.2,181.2700043,0.00337651161024533,3,0.04
"4",1985-05-01,0.04,178.3699951,-0.00811881602283326,1,0.2
"5",1985-07-01,0.34,192.4299927,0.00302312526223059,3,0.04
"6",1985-08-01,0.06,192.1100006,0.00623298979268472,2,0.34
"7",1985-10-01,0.18,185.0700073,0.0164213832954827,3,0.06
"8",1985-11-01,0.04,191.5299988,0.00900848927530307,1,0.18
"9",1986-04-01,0.12,235.1399994,-0.0157387802260635,3,0.04
"10",1986-05-01,0.2,235.1600037,-0.00152853512834283,3,0.12
"11",1986-07-01,0.04,252.0399933,0.00478391411936085,1,0.2
"12",1986-08-01,0.06,234.9100037,-0.00512447664369786,2,0.04
"13",1986-10-01,0.06,233.6000061,0.0098564703789028,2,0.06
"14",1986-12-01,0.02,249.0500031,-0.000682120613038517,1,0.06
"15",1987-04-01,0.02,292.3800049,0.00233113702968857,1,0.02
"16",1987-05-01,0.04,288.0299988,-0.00114435641804567,1,0.02
"17",1987-06-01,0.02,289.8299866,-0.000930780745681536,1,0.04
"18",1987-07-01,0,302.9400024,-0.0034868342105262,1,0.02
"19",1987-09-01,0.02,323.3999939,-0.0194056826462986,1,0
"20",1987-10-01,0,327.3299866,0.0170897686014446,1,0.02
"21",1987-12-01,0.02,232,0.00738166251461947,1,0
"22",1988-02-01,0.04,255.0399933,-0.00789673607326336,2,0.02
"23",1988-03-01,0,267.2200012,-0.0022403333718376,1,0.04
"24",1988-06-01,0,266.6900024,0.0172795187521582,1,0
"25",1988-07-01,0.04,271.7799988,-0.00628885265082268,2,0
"26",1988-08-01,0.06,272.2099915,0.000698487271830528,2,0.04
"27",1988-09-01,0.02,258.3500061,-0.0121213789895045,1,0.06
"28",1988-11-01,0.06,279.0599976,0.000322602428981078,2,0.02
"29",1988-12-01,0,272.4899902,-0.00442097897721605,1,0.06
"30",1989-02-01,0.5,297.0899963,-0.00127745620891873,4,0
"31",1989-03-01,0.5,287.1099854,-0.00605829844371375,4,0.5
"32",1989-05-01,1.38,309.1199951,-0.001679432487664,4,0.5
"33",1989-06-01,1.02,321.9700012,0.0045239368830754,4,1.38
"34",1989-08-01,0.22,343.75,-0.00673250892919441,3,1.02
"35",1989-09-01,0.22,353.730011,0.00648740566468531,3,0.22
"36",1989-11-01,0.1,341.2000122,0.00246805393123029,2,0.22
"37",1989-12-01,0.04,350.6300049,0.0134108350860609,2,0.1
"38",1990-02-01,0.08,328.7900085,-0.00088117816885791,2,0.04
"39",1990-03-01,0.3,332.7399902,0.00256101588661672,3,0.08
"40",1990-05-01,1.5,332.25,0.00438335022211866,4,0.3
"41",1990-06-01,2.84,363.1600037,0.00534283598048013,4,1.5
"42",1990-08-01,19.86,355.519989,-0.00176893137944822,4,2.84
"43",1990-10-01,60.94,314.9400024,0.0290475901139704,4,19.86
"44",1990-11-01,64.6,307.019989,0.00993417434210531,4,60.94
"45",1991-02-01,53.04,343.0499878,-0.0025586744938747,4,64.6
"46",1991-03-01,34.9,370.4700012,0.00926252167810948,4,53.04
"47",1991-04-01,4.58,371.2999878,-0.0104472399857772,4,34.9
"48",1991-05-01,0.78,380.2900085,0.0131880754750251,4,4.58
"49",1991-07-01,0.42,377.9200134,0.0182131954752969,4,0.78
"50",1991-08-01,0.52,387.1199951,-0.00177922824132992,4,0.42
"51",1991-10-01,0.5,389.2000122,0.00345492407168013,4,0.52
"52",1991-11-01,0.7,391.3200073,-0.00287936008376055,4,0.5
"53",1992-04-01,0.02,404.230011,0.00133768138123203,1,0.7
"54",1992-05-01,0.08,412.5299988,-0.00583206007675352,2,0.02
"55",1992-06-01,0.06,417.2999878,0.00469479155257435,2,0.08
"56",1992-07-01,0.02,412.8800049,0.0116136377969347,1,0.06
"57",1992-09-01,0.1,416.0700073,0.00492719973410782,2,0.02
"58",1992-10-01,0,416.2900085,-0.00361412001936878,1,0.1
"59",1992-12-01,0,430.7799988,-0.00132144961617975,1,0
"60",1993-02-01,0.1,442.519989,0.00852361140031066,3,0
"61",1993-03-01,0.72,442.0100098,-0.00308988922562947,4,0.1
"62",1993-04-01,0.04,450.2999878,-0.00303324453551168,2,0.72
"63",1993-06-01,0.04,453.8299866,0.00808543988226051,2,0.04
"64",1993-07-01,0.02,449.019989,-0.00335162986709414,1,0.04
"65",1993-09-01,0.02,463.1499939,-0.000884467387442078,1,0.02
"66",1993-10-01,0.04,461.2799988,0.00512062000170066,2,0.02
"67",1993-11-01,0.02,469.1000061,0.00271470306815935,1,0.04
"68",1993-12-01,0,461.8900146,0.0002165618531349,1,0.02
"69",1994-02-01,0,479.6199951,-0.00413195398834443,1,0
"70",1994-03-01,0,464.4400024,-0.00577987780026057,1,0
"71",1994-06-01,0,457.6300049,0.00247536670317627,1,0
"72",1994-07-01,0.02,446.2000122,0.00434425742856104,1,0
"73",1994-08-01,0,461.0100098,0.0060009600252926,1,0.02
"74",1994-09-01,0.04,473.1700134,-0.00487912857855155,2,0
"75",1994-11-01,0.02,468.4200134,-0.00832008605747314,1,0.04
"76",1994-12-01,0.02,448.9200134,-0.0105137626457867,1,0.02
"77",1995-02-01,0.22,470.3999939,-4.25566502906261e-05,3,0.02
"78",1995-03-01,0.24,485.6499939,-0.00357007868006487,3,0.22
"79",1995-05-01,0.1,514.2600098,-0.000874302385353465,3,0.24
"80",1995-06-01,0,533.4899902,0.000168664784185424,1,0.1
"81",1995-08-01,0,559.6400146,-0.00430555992302128,1,0
"82",1995-09-01,0.04,563.8400269,0.00348832843829139,2,0
"83",1995-11-01,0.1,584.2199707,0.00467750765262243,3,0.04
"84",1995-12-01,0.08,606.9799805,0.00265950643908952,2,0.1
"85",1996-02-01,0,638.460022,0.00383636116032671,1,0.08
