"","Date","Value","SP500","SP500.Returns","rank","lag_preds"
"1",1985-02-01,93.7,178.6300049,-0.00556699867907207,3,NA
"2",1985-03-01,93.7,183.2299957,0.0113147316624214,3,93.7
"3",1985-04-01,94.6,181.2700043,0.00337651161024533,3,93.7
"4",1985-05-01,91.8,178.3699951,-0.00811881602283326,3,94.6
"5",1985-07-01,94,192.4299927,0.00302312526223059,3,91.8
"6",1985-08-01,92.4,192.1100006,0.00623298979268472,3,94
"7",1985-10-01,88.4,185.0700073,0.0164213832954827,2,92.4
"8",1985-11-01,90.9,191.5299988,0.00900848927530307,3,88.4
"9",1986-04-01,96.2,235.1399994,-0.0157387802260635,4,90.9
"10",1986-05-01,94.8,235.1600037,-0.00152853512834283,3,96.2
"11",1986-07-01,97.7,252.0399933,0.00478391411936085,4,94.8
"12",1986-08-01,94.9,234.9100037,-0.00512447664369786,3,97.7
"13",1986-10-01,95.6,233.6000061,0.0098564703789028,4,94.9
"14",1986-12-01,89.1,249.0500031,-0.000682120613038517,2,95.6
"15",1987-04-01,92.8,292.3800049,0.00233113702968857,3,89.1
"16",1987-05-01,91.1,288.0299988,-0.00114435641804567,3,92.8
"17",1987-06-01,91.5,289.8299866,-0.000930780745681536,3,91.1
"18",1987-07-01,93.7,302.9400024,-0.0034868342105262,3,91.5
"19",1987-09-01,93.6,323.3999939,-0.0194056826462986,3,93.7
"20",1987-10-01,89.3,327.3299866,0.0170897686014446,2,93.6
"21",1987-12-01,86.8,232,0.00738166251461947,2,89.3
"22",1988-02-01,91.6,255.0399933,-0.00789673607326336,3,86.8
"23",1988-03-01,94.6,267.2200012,-0.0022403333718376,3,91.6
"24",1988-06-01,94.7,266.6900024,0.0172795187521582,3,94.6
"25",1988-07-01,93.4,271.7799988,-0.00628885265082268,3,94.7
"26",1988-08-01,97.4,272.2099915,0.000698487271830528,4,93.4
"27",1988-09-01,97.3,258.3500061,-0.0121213789895045,4,97.4
"28",1988-11-01,93,279.0599976,0.000322602428981078,3,97.3
"29",1988-12-01,91.9,272.4899902,-0.00442097897721605,3,93
"30",1989-02-01,95.4,297.0899963,-0.00127745620891873,4,91.9
"31",1989-03-01,94.3,287.1099854,-0.00605829844371375,3,95.4
"32",1989-05-01,90.7,309.1199951,-0.001679432487664,3,94.3
"33",1989-06-01,90.6,321.9700012,0.0045239368830754,3,90.7
"34",1989-08-01,89.6,343.75,-0.00673250892919441,2,90.6
"35",1989-09-01,95.8,353.730011,0.00648740566468531,4,89.6
"36",1989-11-01,90.9,341.2000122,0.00246805393123029,3,95.8
"37",1989-12-01,90.5,350.6300049,0.0134108350860609,3,90.9
"38",1990-02-01,89.5,328.7900085,-0.00088117816885791,2,90.5
"39",1990-03-01,91.3,332.7399902,0.00256101588661672,3,89.5
"40",1990-05-01,90.6,332.25,0.00438335022211866,3,91.3
"41",1990-06-01,88.3,363.1600037,0.00534283598048013,2,90.6
"42",1990-08-01,76.4,355.519989,-0.00176893137944822,1,88.3
"43",1990-10-01,63.9,314.9400024,0.0290475901139704,1,76.4
"44",1990-11-01,66,307.019989,0.00993417434210531,1,63.9
"45",1991-02-01,70.4,343.0499878,-0.0025586744938747,1,66
"46",1991-03-01,87.7,370.4700012,0.00926252167810948,2,70.4
"47",1991-04-01,81.8,371.2999878,-0.0104472399857772,2,87.7
"48",1991-05-01,78.3,380.2900085,0.0131880754750251,1,81.8
"49",1991-07-01,82.9,377.9200134,0.0182131954752969,2,78.3
"50",1991-08-01,82,387.1199951,-0.00177922824132992,2,82.9
"51",1991-10-01,78.3,389.2000122,0.00345492407168013,1,82
"52",1991-11-01,69.1,391.3200073,-0.00287936008376055,1,78.3
"53",1992-04-01,77.2,404.230011,0.00133768138123203,1,69.1
"54",1992-05-01,79.2,412.5299988,-0.00583206007675352,2,77.2
"55",1992-06-01,80.4,417.2999878,0.00469479155257435,2,79.2
"56",1992-07-01,76.6,412.8800049,0.0116136377969347,1,80.4
"57",1992-09-01,75.6,416.0700073,0.00492719973410782,1,76.6
"58",1992-10-01,73.3,416.2900085,-0.00361412001936878,1,75.6
"59",1992-12-01,91,430.7799988,-0.00132144961617975,3,73.3
"60",1993-02-01,86.6,442.519989,0.00852361140031066,2,91
"61",1993-03-01,85.9,442.0100098,-0.00308988922562947,2,86.6
"62",1993-04-01,85.6,450.2999878,-0.00303324453551168,2,85.9
"63",1993-06-01,81.5,453.8299866,0.00808543988226051,2,85.6
"64",1993-07-01,77,449.019989,-0.00335162986709414,1,81.5
"65",1993-09-01,77.9,463.1499939,-0.000884467387442078,1,77
"66",1993-10-01,82.7,461.2799988,0.00512062000170066,2,77.9
"67",1993-11-01,81.2,469.1000061,0.00271470306815935,2,82.7
"68",1993-12-01,88.2,461.8900146,0.0002165618531349,2,81.2
"69",1994-02-01,93.2,479.6199951,-0.00413195398834443,3,88.2
"70",1994-03-01,91.5,464.4400024,-0.00577987780026057,3,93.2
"71",1994-06-01,91.2,457.6300049,0.00247536670317627,3,91.5
"72",1994-07-01,89,446.2000122,0.00434425742856104,2,91.2
"73",1994-08-01,91.7,461.0100098,0.0060009600252926,3,89
"74",1994-09-01,91.5,473.1700134,-0.00487912857855155,3,91.7
"75",1994-11-01,91.6,468.4200134,-0.00832008605747314,3,91.5
"76",1994-12-01,95.1,448.9200134,-0.0105137626457867,3,91.6
"77",1995-02-01,95.1,470.3999939,-4.25566502906261e-05,4,95.1
"78",1995-03-01,90.3,485.6499939,-0.00357007868006487,3,95.1
"79",1995-05-01,89.8,514.2600098,-0.000874302385353465,2,90.3
"80",1995-06-01,92.7,533.4899902,0.000168664784185424,3,89.8
