"","Date","Value","SP500","SP500.Returns","rank","lag_preds"
"1",1985-01-04,143.69,163.6799927,-0.00540812153199666,4,NA
"2",1985-01-11,234.07,167.9100037,-0.00237653084013822,4,143.69
"3",1985-01-18,118.18,171.3200073,0.00345581687377727,3,234.07
"4",1985-01-25,124.9,177.3500061,0.00362174962217354,3,118.18
"5",1985-02-01,220.97,178.6300049,-0.00556699867907207,4,124.9
"6",1985-02-08,178.97,182.1900024,0.00203495261877062,4,220.97
"7",1985-02-15,117.78,181.6000061,-0.00444053277545109,3,178.97
"8",1985-02-22,181.2,179.3600006,-0.00460625888753519,4,117.78
"9",1985-03-01,184.35,183.2299957,0.0113147316624214,4,181.2
"10",1985-03-08,93.24,179.1000061,-0.00228393077021682,2,184.35
"11",1985-03-15,140.7,176.5299988,-0.00736615793553075,4,93.24
"12",1985-03-22,114.8,179.0399933,-0.00172853520744887,3,140.7
"13",1985-03-29,149.82,180.6600037,0.00623822235599913,4,114.8
"14",1985-04-12,110.46,180.5399933,0.00194234361140122,3,149.82
"15",1985-04-19,71.85,181.1100006,0.00149305632340369,2,110.46
"16",1985-04-26,110.93,182.1799927,-0.00681458894262932,3,71.85
"17",1985-05-03,134.85,180.0800018,0.00597736066630628,4,110.93
"18",1985-05-10,87.77,184.2799988,0.0129727386947609,2,134.85
"19",1985-05-17,125.29,187.4199982,0.00947966425145563,3,87.77
"20",1985-05-24,134.25,188.2899933,0.00367797002966075,4,125.29
"21",1985-05-31,151.49,189.5500031,0.00958723355525959,4,134.25
"22",1985-06-07,168.75,189.6799927,-0.00722288766531409,4,151.49
"23",1985-06-14,117.18,187.1000061,0.00955055459347665,3,168.75
"24",1985-06-21,117.33,189.6100006,0.0154233651064128,3,117.18
"25",1985-06-28,167.34,191.8500061,0.00324222357340154,4,117.33
"26",1985-07-05,136.04,192.5200043,0.00558896535558007,4,167.34
"27",1985-07-12,136.99,193.2899933,0.00181398826394963,4,136.04
"28",1985-07-19,165.03,195.1300049,0.00385842155105331,4,136.99
"29",1985-07-26,92.56,192.3999939,0.00177026087810384,2,165.03
"30",1985-08-02,136.48,191.4799957,-0.00327939668956523,4,92.56
"31",1985-08-09,116.91,188.3200073,-0.00333416041458545,3,136.48
"32",1985-08-16,145.01,186.1000061,-0.00619453398520742,4,116.91
"33",1985-08-23,129.66,187.1699982,-0.00101410332723917,3,145.01
"34",1985-08-30,115.5,188.6300049,-0.00158782518176648,3,129.66
"35",1985-09-06,86.46,188.2400055,0.00517969337174828,2,115.5
"36",1985-09-13,86.39,182.9100037,-0.00424627736844096,2,86.46
"37",1985-09-20,90.4,182.0500031,-0.00730681228193508,2,86.39
"38",1985-10-04,101.09,183.2200012,-0.00618355064162435,3,90.4
"39",1985-10-11,105.23,184.2799988,0.00820658720783407,3,101.09
