"","Date","Value","SP500","SP500.Returns","rank","lag_preds"
"1",1985-02-01,52.49,178.6300049,-0.00556699867907207,1,NA
"2",1985-03-01,52.7,183.2299957,0.0113147316624214,1,52.49
"3",1985-04-01,52.85,181.2700043,0.00337651161024533,1,52.7
"4",1985-05-01,53.06,178.3699951,-0.00811881602283326,1,52.85
"5",1985-07-01,53.34,192.4299927,0.00302312526223059,1,53.06
"6",1985-08-01,53.55,192.1100006,0.00623298979268472,1,53.34
"7",1985-10-01,53.87,185.0700073,0.0164213832954827,1,53.55
"8",1985-11-01,54.06,191.5299988,0.00900848927530307,1,53.87
"9",1986-04-01,54.76,235.1399994,-0.0157387802260635,1,54.06
"10",1986-05-01,54.87,235.1600037,-0.00152853512834283,1,54.76
"11",1986-07-01,55.18,252.0399933,0.00478391411936085,1,54.87
"12",1986-08-01,55.32,234.9100037,-0.00512447664369786,1,55.18
"13",1986-10-01,55.67,233.6000061,0.0098564703789028,1,55.32
"14",1986-12-01,56.08,249.0500031,-0.000682120613038517,1,55.67
"15",1987-04-01,56.87,292.3800049,0.00233113702968857,1,56.08
"16",1987-05-01,57.04,288.0299988,-0.00114435641804567,1,56.87
"17",1987-06-01,57.23,289.8299866,-0.000930780745681536,1,57.04
"18",1987-07-01,57.46,302.9400024,-0.0034868342105262,1,57.23
"19",1987-09-01,57.85,323.3999939,-0.0194056826462986,1,57.46
"20",1987-10-01,58.08,327.3299866,0.0170897686014446,1,57.85
"21",1987-12-01,58.57,232,0.00738166251461947,1,58.08
"22",1988-02-01,58.98,255.0399933,-0.00789673607326336,1,58.57
"23",1988-03-01,59.21,267.2200012,-0.0022403333718376,1,58.98
"24",1988-06-01,59.92,266.6900024,0.0172795187521582,1,59.21
"25",1988-07-01,60.12,271.7799988,-0.00628885265082268,1,59.92
"26",1988-08-01,60.24,272.2099915,0.000698487271830528,1,60.12
"27",1988-09-01,60.51,258.3500061,-0.0121213789895045,1,60.24
"28",1988-11-01,60.96,279.0599976,0.000322602428981078,1,60.51
